,age,workclass,fnlwgt,education,education_num,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income_50k,marital_status
0,0.30136986301369856,7,0.04413120765299046,9,0.8,1,1,4,1,0.021740217402174022,0.0,0.39795918367346933,39,0,0
1,0.4520547945205479,6,0.04805174157626436,9,0.8,4,0,4,1,0.0,0.0,0.12244897959183672,39,0,1
2,0.2876712328767123,4,0.13758131133233883,11,0.5333333333333333,6,1,4,1,0.0,0.0,0.39795918367346933,39,0,1
3,0.4931506849315069,4,0.1504862612178349,1,0.4,6,0,2,1,0.0,0.0,0.39795918367346933,39,0,1
4,0.1506849315068493,4,0.2206350656072092,9,0.8,10,5,2,0,0.0,0.0,0.39795918367346933,5,0,1
5,0.27397260273972607,4,0.18421908985430768,12,0.8666666666666667,4,5,4,0,0.0,0.0,0.39795918367346933,39,0,1
6,0.4383561643835617,4,0.10006122662986303,6,0.26666666666666666,8,1,2,0,0.0,0.0,0.1530612244897959,23,0,1
7,0.4794520547945205,6,0.13351938110363537,11,0.5333333333333333,4,0,4,1,0.0,0.0,0.44897959183673464,39,1,1
8,0.1917808219178082,4,0.022661294960135032,12,0.8666666666666667,10,1,4,0,0.14084140841408413,0.0,0.5,39,1,0
9,0.3424657534246575,4,0.099561942068107,9,0.8,4,0,4,1,0.051780517805178054,0.0,0.39795918367346933,39,1,1
10,0.27397260273972607,4,0.18143310906120297,15,0.6,4,0,2,1,0.0,0.0,0.8061224489795917,39,1,1
11,0.1780821917808219,7,0.08728143615347926,9,0.8,10,0,1,1,0.0,0.0,0.39795918367346933,19,1,1
12,0.0821917808219178,4,0.07441031313531085,9,0.8,1,3,4,0,0.0,0.0,0.2959183673469387,39,0,0
13,0.2054794520547945,4,0.13039174895052144,7,0.7333333333333334,12,1,2,1,0.0,0.0,0.5,39,0,0
14,0.3150684931506849,4,0.07407204446203441,8,0.6666666666666666,3,0,1,1,0.0,0.0,0.39795918367346933,0,1,1
15,0.2328767123287671,4,0.15776986229082313,5,0.2,14,0,0,1,0.0,0.0,0.44897959183673464,26,0,1
16,0.1095890410958904,6,0.11127077392489758,11,0.5333333333333333,5,3,4,1,0.0,0.0,0.346938775510204,39,0,0
17,0.2054794520547945,4,0.1180821519299919,11,0.5333333333333333,7,4,4,1,0.0,0.0,0.39795918367346933,39,0,0
18,0.2876712328767123,4,0.011231873027470798,1,0.4,12,0,4,1,0.0,0.0,0.5,39,0,1
19,0.35616438356164376,6,0.18935603792668365,12,0.8666666666666667,4,4,4,0,0.0,0.0,0.44897959183673464,39,1,1
20,0.3150684931506849,4,0.12261495215189615,10,1.0,10,0,4,1,0.0,0.0,0.6020408163265305,39,1,1
21,0.5068493150684932,4,0.19610179180916235,11,0.5333333333333333,8,4,2,0,0.0,0.0,0.19387755102040813,39,0,1
22,0.2465753424657534,1,0.04367725109345348,6,0.26666666666666666,5,0,2,1,0.0,0.0,0.39795918367346933,39,0,1
23,0.35616438356164376,4,0.07086864012610655,1,0.4,14,0,4,1,0.0,0.4687786960514233,0.39795918367346933,39,0,1
24,0.5753424657534245,4,0.0654414575320594,11,0.5333333333333333,13,4,4,0,0.0,0.0,0.39795918367346933,39,0,1
25,0.5342465753424657,2,0.13839653883493505,9,0.8,13,0,4,1,0.0,0.0,0.39795918367346933,39,1,1
26,0.0273972602739726,4,0.10554591489836718,11,0.5333333333333333,3,3,4,1,0.0,0.0,0.39795918367346933,39,0,0
27,0.5068493150684932,0,0.11360821045723776,15,0.6,0,0,1,1,0.0,0.0,0.6020408163265305,35,1,1
